종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 케이씨씨글라스,IR,BONDAV460359,공모/무보증AA-,20260316,3.069,3.109,3.167,3.362,3.506,3.755,3.783,3.969,4.045,4.215,4.4,5.234,5.856,6.184,
시가평가 4사평균 케이씨씨,IR,BONDAV400238,공모/무보증AA-,20260316,3.036,3.077,3.133,3.326,3.476,3.727,3.763,3.947,4.059,4.267,4.471,5.308,5.909,6.244,
시가평가 4사평균 케이비카드,IR,BONDAV418497,카드채AA+,20260316,2.931,2.949,2.991,3.192,3.353,3.638,3.651,3.845,3.869,3.925,4.208,5.055,5.426,5.7,
시가평가 4사평균 컴투스,IR,BONDAV413029,공모/무보증A-,20260316,3.294,3.339,3.513,3.769,4.027,4.34,4.445,4.825,5.175,5.712,5.846,6.546,6.864,7.215,
시가평가 4사평균 충청남도개발공사,IR,BONDAV413509,공사/공단채AA+,20260316,2.869,2.914,2.971,3.068,3.254,3.556,3.622,3.781,3.83,3.986,4.024,4.134,4.167,4.205,
시가평가 4사평균 충북개발공사,IR,BONDAV412544,공사/공단채AA+,20260316,2.844,2.884,2.937,3.029,3.204,3.492,3.564,3.732,3.793,3.952,3.992,4.101,4.132,4.175,
시가평가 4사평균 지역난방공사,IR,BONDAV408683,공사/공단채AAA,20260316,2.779,2.824,2.864,2.968,3.142,3.403,3.45,3.602,3.637,3.778,3.797,3.868,3.881,3.898,3.788
시가평가 4사평균 지에스이피에스,IR,BONDAV403954,공모/무보증AA0,20260316,2.945,2.979,3.031,3.223,3.359,3.587,3.617,3.782,3.832,3.938,4.014,4.627,5.129,5.419,
시가평가 4사평균 지에스이앤알,IR,BONDAV409197,공모/무보증A+,20260316,3.1,3.141,3.248,3.479,3.693,4.004,4.064,4.289,4.487,4.734,4.95,5.673,6.072,6.426,
시가평가 4사평균 지에스에너지,IR,BONDAV419765,공모/무보증AA0,20260316,2.904,2.938,2.984,3.169,3.294,3.507,3.534,3.698,3.743,3.853,3.941,4.558,5.036,5.311,
시가평가 4사평균 중앙일보,IR,BONDAV403004,공모/무보증BBB0,20260316,4.429,4.938,5.455,5.852,6.622,7.428,7.824,8.269,8.489,8.74,8.793,9.245,9.564,9.989,
시가평가 4사평균 중소벤처기업진흥공단,IR,BONDAV403934,공사/공단채AAA,20260316,2.75,2.8,2.837,2.94,3.112,3.377,3.43,3.583,3.627,3.773,3.789,3.853,3.871,3.878,3.76
시가평가 4사평균 주택도시보증공사,IR,BONDAV403832,공사/공단채AAA,20260316,2.827,2.849,2.887,3.015,3.189,3.457,3.507,3.656,3.685,3.83,3.842,3.874,3.891,3.914,3.804
시가평가 4사평균 종근당홀딩스,IR,BONDAV400163,공모/무보증A+,20260316,3.058,3.09,3.224,3.467,3.691,4.006,4.117,4.379,4.587,4.932,5.143,5.838,6.239,6.547,
시가평가 4사평균 종근당,IR,BONDAV444051,공모/무보증AA-,20260316,3.034,3.074,3.141,3.335,3.477,3.725,3.761,3.931,4.014,4.18,4.348,5.182,5.799,6.132,
시가평가 4사평균 제주은행,IR,BONDAV400622,은행채AA+,20260316,2.829,2.879,2.91,3.023,3.29,3.478,3.536,3.708,3.767,3.947,3.964,4.207,4.443,4.617,
시가평가 4사평균 제이티비씨,IR,BONDAV451254,공모/무보증BBB0,20260316,5.318,5.915,6.4,6.784,7.409,8.229,8.605,9.058,9.278,9.528,9.582,10.034,10.369,10.811,
시가평가 4사평균 제이알글로벌리츠,IR,BONDAV465154,공모/무보증A-,20260316,4.793,5.051,5.44,5.844,6.312,6.729,6.843,7.189,7.534,8.027,8.16,8.721,8.858,9.243,
시가평가 4사평균 전북은행,IR,BONDAV400635,은행채AA+,20260316,2.823,2.876,2.899,3.019,3.285,3.472,3.531,3.7,3.759,3.929,3.955,4.192,4.423,4.604,
시가평가 4사평균 전남개발공사,IR,BONDAV412455,공사/공단채AA+,20260316,2.852,2.893,2.948,3.045,3.215,3.503,3.574,3.736,3.781,3.946,3.985,4.088,4.116,4.144,
시가평가 4사평균 인천항만공사,IR,BONDAV414727,공사/공단채AAA,20260316,2.821,2.868,2.915,3.023,3.197,3.467,3.522,3.681,3.723,3.867,3.876,3.935,3.945,3.948,3.84
시가평가 4사평균 인천도시공사,IR,BONDAV408573,공사/공단채AA+,20260316,2.819,2.86,2.912,3.005,3.18,3.462,3.531,3.689,3.76,3.916,4.013,4.128,4.167,4.208,
시가평가 4사평균 인천국제공항공사,IR,BONDAV403937,공사/공단채AAA,20260316,2.815,2.863,2.904,3.009,3.181,3.447,3.501,3.656,3.693,3.84,3.871,3.942,3.952,3.96,3.853
시가평가 4사평균 인천교통공사,IR,BONDAV450879,공사/공단채AA+,20260316,2.871,2.916,2.967,3.061,3.237,3.524,3.591,3.752,3.811,3.971,4.012,4.123,4.157,4.195,
시가평가 4사평균 이지스자산운용,IR,BONDAV455395,공모/무보증A-,20260316,5.103,5.216,5.449,5.793,6.104,6.482,6.603,6.948,7.288,7.787,7.926,8.647,8.986,9.378,
시가평가 4사평균 이지스레지던스리츠,IR,BONDAV470126,공모/무보증A-,20260316,4.67,4.749,4.987,5.338,5.648,5.996,6.15,6.503,6.846,7.342,7.482,8.193,8.537,8.888,
시가평가 4사평균 이마트,IR,BONDAV418667,공모/무보증AA-,20260316,3.027,3.066,3.122,3.316,3.46,3.704,3.733,3.906,4.003,4.196,4.49,5.318,5.931,6.247,
