종목명,구분,코드,채권그룹,날짜(당일),3월이하(당일),6월이하(당일),9월이하(당일),1년이하(당일),1.5년이하(당일),2년이하(당일),2.5년이하(당일),3년이하(당일),4년이하(당일),5년이하(당일),7년이하(당일),10년이하(당일),15년이하(당일),20년이하(당일),30년이하(당일)
시가평가 4사평균 한국중부발전,IR,BONDAV406531,공모/무보증AAA,20260401,2.972,3.051,3.139,3.387,3.564,3.777,3.784,3.854,3.857,3.931,3.915,4.163,4.3,4.523,
시가평가 4사평균 한국증권금융,IR,BONDAV402882,공모/무보증AAA,20260401,2.938,3.016,3.101,3.342,3.513,3.72,3.727,3.796,3.802,3.883,3.898,4.195,4.357,4.618,2.803
시가평가 4사평균 한국철도공사,IR,BONDAV410095,공사/공단채AAA,20260401,2.799,2.895,3.012,3.192,3.377,3.608,3.632,3.716,3.729,3.8,3.814,3.872,3.857,3.865,3.773
시가평가 4사평균 한국캐피탈,IR,BONDAV402376,기타금융채A0,20260401,3.732,4.022,4.221,4.441,4.552,4.979,5.239,5.571,5.755,5.956,5.986,6.523,6.683,6.861,
시가평가 4사평균 한국콜마,IR,BONDAV441365,공모/무보증A0,20260401,3.127,3.224,3.404,3.7,3.965,4.263,4.3,4.455,4.7,5.081,5.25,6.029,6.358,6.727,
시가평가 4사평균 한국타이어앤테크놀로지,IR,BONDAV440772,공모/무보증AA0,20260401,2.984,3.053,3.157,3.404,3.564,3.783,3.796,3.885,3.887,3.977,4.03,4.739,5.223,5.508,
시가평가 4사평균 한국토지신탁,IR,BONDAV403865,공모/무보증A-,20260401,4.749,4.902,5.222,5.62,6.071,6.561,6.637,6.886,7.125,7.592,7.688,8.444,8.745,9.148,
시가평가 4사평균 한국토지주택공사,IR,BONDAV415678,공사/공단채AAA,20260401,2.781,2.875,2.991,3.174,3.359,3.589,3.619,3.705,3.72,3.799,3.809,3.885,3.872,3.876,3.786
시가평가 4사평균 한국투자증권,IR,BONDAV403049,공모/무보증AA0,20260401,3.06,3.131,3.238,3.495,3.673,3.919,3.927,4.02,4.057,4.157,4.222,4.918,5.41,5.698,
시가평가 4사평균 한국투자캐피탈,IR,BONDAV446860,기타금융채A0,20260401,3.698,3.978,4.174,4.397,4.568,4.98,5.155,5.469,5.642,5.835,5.864,6.404,6.558,6.737,
시가평가 4사평균 한국항공우주,IR,BONDAV404139,공모/무보증AA-,20260401,3.036,3.108,3.211,3.459,3.628,3.862,3.862,3.942,3.952,4.06,4.214,5.08,5.678,6.02,
시가평가 4사평균 한국해양진흥공사,IR,BONDAV456490,공사/공단채AAA,20260401,2.786,2.881,2.994,3.175,3.362,3.589,3.615,3.698,3.715,3.793,3.812,3.892,3.868,3.879,3.792
시가평가 4사평균 한국해외인프라도시개발지원공사,IR,BONDAV460279,공사/공단채AAA,20260401,2.831,2.926,3.044,3.228,3.416,3.653,3.677,3.753,3.768,3.845,3.858,3.931,3.91,3.92,3.834
시가평가 4사평균 한솔제지,IR,BONDAV447104,공모/무보증A0,20260401,3.353,3.482,3.672,3.965,4.216,4.591,4.64,4.861,5.121,5.505,5.667,6.444,6.782,7.144,
시가평가 4사평균 한솔케미칼,IR,BONDAV401468,공모/무보증A+,20260401,3.025,3.094,3.231,3.505,3.739,4.012,4.051,4.179,4.344,4.618,4.76,5.528,5.906,6.229,
